listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL,dateUpdated
Well Furnished 4 Bedroom Semi Detached Duplex,9000000,4,4,5,Osapa London,Lekki,Lagos,Serviced,08033354125,19,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-1GNPL,10 May 2022
4 Bedroom Terrace Duplex,3800000,5,4,5,Chevron,Lekki,Lagos,Serviced,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-7GSYP,08 Jun 2022
4 Bedroom Duplex,3500000,4,4,5,Diamond Estate Monastery Road,Sangotedo,Lagos,Serviced,08060623971,7,https://www.propertypro.ng/property/4-bedroom-house-for-rent-diamond-estate-monastery-road-sangotedo-lagos-1GUPS,17 Jun 2022
Fully Serviced 3 Bedroom Duplex,2500000,3,3,4,"South Pointe Estate,orchid Road",Lekki,Lagos,Serviced,08168064058,12,https://www.propertypro.ng/property/3-bedroom-house-for-rent-south-pointe-estateorchid-road-lekki-lagos-3GUDS,15 Jun 2022
4 Bedroom Terrace Duplex,5000000,5,4,5,Osapa London,Lekki,Lagos,Serviced,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-9GULW,16 Jun 2022
4 Bedroom Terrace Duplex,4000000,5,4,5,Chevron Toll Gate Chevron,Lekki,Lagos,Serviced,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-toll-gate-chevron-lekki-lagos-2GVBH,20 Jun 2022
Newly Built 4 Bedroom Duplex,3000000,5,4,5,Badore,Ajah,Lagos,Serviced,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-badore-ajah-lagos-4GVBA,20 Jun 2022
Luxury Built & Tastefully Finished & Serviced 4bedroom Terrace Duplex,4500000,5,4,5,Phase 1,Gbagada,Lagos,Serviced,08167742895,40,https://www.propertypro.ng/property/4-bedroom-house-for-rent-phase-1-gbagada-lagos-5GPTV,17 May 2022
3 Bedroom Flat,14000000,4,3,4,Alenxender Old Ikoyi,Ikoyi,Lagos,Serviced,09035137760,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-alenxender-old-ikoyi-ikoyi-lagos-7GSSL,06 Jun 2022
2 Bedroom Apartment,3200000,3,2,3,Osapa London,Lekki,Lagos,Serviced,09035137760,8,https://www.propertypro.ng/property/2-bedroom-house-for-rent-osapa-london-lekki-lagos-5GSSF,06 Jun 2022
5 Bedroom Fully Detached Duplex,12000000,6,5,6,Juat By Nicon Town Ikate,Lekki,Lagos,Serviced,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-juat-by-nicon-town-ikate-lekki-lagos-4GUGG,15 Jun 2022
4 Bedroom Semi Detached Duplex,5000000,5,4,5,Chevron,Lekki,Lagos,Serviced,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-4GSTY,06 Jun 2022
4 Bedroom Terrace Duplex,4500000,5,4,5,Ikota,Lekki,Lagos,Serviced,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-9GUKN,16 Jun 2022
3 Bedroom Flat,12000000,4,3,4,Oniru Victoria,Island,Lagos,Serviced,09035137760,9,https://www.propertypro.ng/property/3-bedroom-house-for-rent-oniru-victoria-island-lagos-8GUKU,16 Jun 2022
4 Bedroom Semi Detached Duplex,4500000,5,4,5,Ikota,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-6GKYR,19 Apr 2022
4 Bedroom Terrace Duplex,25000000,5,4,5,Old Ikoyi,Ikoyi,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-2GQSG,23 May 2022
