listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
Affordable 5 Bedroom Terrace Duplex,115000000,5,5,7,,Apo,Abuja,Newly Built,08063531327,1,https://www.propertypro.ng/property/5-bedroom-house-for-sale-apo-abuja-0GUQH
Luxury 4 Bedroom Terrace Duplex With Excellent Finishing,150000000,4,4,5,,Jahi,Abuja,ServicedNewly Built,08063531327,1,https://www.propertypro.ng/property/4-bedroom-house-for-sale-jahi-abuja-9GVCU
Newly Built 4 Bedrooms Terrace Duplex With Bq And Pool In Old Ikoyi Lagos,290000000,4,4,5,Off Glover Road Ikoyi Lagos Old Ikoyi,Ikoyi,Lagos,ServicedNewly Built,090902999998,1,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-glover-road-ikoyi-lagos-old-ikoyi-ikoyi-lagos-8GVEV
Clean 2 Bedroom Terrace Duplex For Sale,33000000,2,2,3,Chevron,Lekki,Lagos,Serviced,08137224561,1,https://www.propertypro.ng/property/2-bedroom-house-for-sale-chevron-lekki-lagos-7GVEV
Plot Of Land With Governor's Consent,90000000, , , ,Harris Drive Vgc,Lekki,Lagos,,08168064058,15,https://www.propertypro.ng/property/land-for-sale-harris-drive-vgc-lekki-lagos-4GVEU
Newly Built Semi Detached Duplex,65000000,4,4,5,Riverpark Estate,Lugbe,Abuja,,08039220606,15,https://www.propertypro.ng/property/4-bedroom-house-for-sale-riverpark-estate-lugbe-abuja-0GVEU
"A Block Of 4 Flat, Comprising Of 4 No 3 Bedroom For Sale ??",60000000, ,3, ,Off Ago Palace Way Okota Ago Palace,Okota,Lagos,,09028929744,15,https://www.propertypro.ng/property/3-bedroom-house-for-sale-off-ago-palace-way-okota-ago-palace-okota-lagos-9GVET
A Luxury 1 Bedroom Flat In A Serene Environment At Oniru,75000000,1,1,2,Off Palace Road Oniru Victoria,Island,Lagos,FurnishedServicedNewly Built,07038092452,15,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-sale-off-palace-road-oniru-victoria-island-lagos-7GVET
Land With C Of O For Sale,25000000, , , ,"Greenland Estate, Neighborhood Abraham Adesanya Estate Ogombo",Ajah,Lagos,Serviced,08036411790,15,https://www.propertypro.ng/property/land-for-sale-greenland-estate-neighborhood-abraham-adesanya-estate-ogombo-ajah-lagos-6GFXF
2 Bedroom Apartment,65000000,0,2,0,"Fully Serviced Apartment In Serene And Secured Environment, Neighborhood To Oniru Beach, Oriental Hotel,eko Atlantic City Oniru Victoria",Island,Lagos,,08036411790,15,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-fully-serviced-apartment-in-serene-and-secured-environment-neighborhood-to-oniru-beach-oriental-hoteleko-atlantic-city-oniru-victoria-island-lagos-3GFXU
4 Bedroom Terrace Duplex,100000000,0,4,0,Ikate,Lekki,Lagos,Serviced,08036411790,15,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-2GFYC
Tastefully Specious Exquisitely Beautifully Newly Buildfully Detached 4 Bedroom Duplex With 2room Bq Luxury Apartment Are Available For Sale In Asokoro Abuja By Naf Valley Estate,230000000,4,4,5,Naf Valley Estate,Asokoro,Abuja,ServicedNewly Built,08053979149,15,https://www.propertypro.ng/property/4-bedroom-house-for-sale-naf-valley-estate-asokoro-abuja-3GVET
Land,2500000,0,0,0,,Owerri,Imo,Serviced,08036411790,15,https://www.propertypro.ng/property/land-for-sale-owerri-imo-9GFZC
5 Bedroom Fully Detached Duplex,250000000,0,5,0,Ikate,Lekki,Lagos,Serviced,08036411790,15,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-6GFZF
3 Bedroom Apartment With Bq,170000000,0,3,0,Ikoyi S.w,Ikoyi,Lagos,,08036411790,15,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikoyi-sw-ikoyi-lagos-8GFZF
4 Bedroom Terrace Duplex With Bq,130000000,0,4,0,Oniru Victoria,Island,Lagos,Serviced,08036411790,15,https://www.propertypro.ng/property/4-bedroom-house-for-sale-oniru-victoria-island-lagos-4GFZG
5 Bedroom Fully Detached Duplex,60000000,0,5,0,Sangotedo,Ajah,Lagos,Serviced,08036411790,15,https://www.propertypro.ng/property/5-bedroom-house-for-sale-sangotedo-ajah-lagos-3GGAL
Land For Sale At Sangotedo,22000000, , , ,Sangotedo,Ajah,Lagos,,08036411790,15,https://www.propertypro.ng/property/land-for-sale-sangotedo-ajah-lagos-1GGDC
Water Front Land With C Of O,3000000000,0,0,0,Oniru Victoria,Island,Lagos,Serviced,08036411790,15,https://www.propertypro.ng/property/land-for-sale-oniru-victoria-island-lagos-2GGGD
500sqm Of Land,1800000,0,0,0,,Asaba,Delta,Serviced,08036411790,15,https://www.propertypro.ng/property/land-for-sale-asaba-delta-9GGXY
Land For Sale At Asaba,2500000, , , ,Jasmine Court Located Along Sapele Warri Road,Asaba,Delta,,08036411790,15,https://www.propertypro.ng/property/land-for-sale-jasmine-court-located-along-sapele-warri-road-asaba-delta-1GGXZ
Land,1500000,0,0,0,,Asaba,Delta,Serviced,08036411790,15,https://www.propertypro.ng/property/land-for-sale-asaba-delta-6GHAD
Land,2000000,0,0,0,"Green Space Estate, Okpanam . Close Proximity To Asaba Specialist Hospital,",Asaba,Delta,Serviced,08036411790,1,https://www.propertypro.ng/property/land-for-sale-green-space-estate-okpanam-close-proximity-to-asaba-specialist-hospital-asaba-delta-8GHAK
Luxury 3bedroom Flat,75000000,3,3,4,Horizon11 Ikate,Lekki,Lagos,ServicedNewly Built,08060087745,1,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-horizon11-ikate-lekki-lagos-8GVES
1 Bedroom With Studio,33000000,0,1,0,"Millennial Town Hockley ,abijo .facing Lekki Epe Express Way Abijo",Ajah,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-sale-millennial-town-hockley-abijo-facing-lekki-epe-express-way-abijo-ajah-lagos-3GHBH
1 Bedroom Studio,20000000,0,1,0,"Millennial Town Hockley ,abijo .facing Lekki Epe Express Way Abijo",Ajah,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-sale-millennial-town-hockley-abijo-facing-lekki-epe-express-way-abijo-ajah-lagos-0GHBJ
2 Bedroom Apartment,50000000,0,2,0,"Millennial Town Hockley ,abijo .facing Lekki Epe Express Way Abijo",Ajah,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/2-bedroom-house-for-sale-millennial-town-hockley-abijo-facing-lekki-epe-express-way-abijo-ajah-lagos-6GHBJ
2 Bedroom Massionette,56000000,0,2,0,"Millennial Town Hockley ,abijo .facing Lekki Epe Express Way Abijo",Ajah,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/2-bedroom-house-for-sale-millennial-town-hockley-abijo-facing-lekki-epe-express-way-abijo-ajah-lagos-1GHES
Land,60000000,0,0,0,Peninsula Estate,Ajah,Lagos,FurnishedServiced,08036411790,1,https://www.propertypro.ng/property/land-for-sale-peninsula-estate-ajah-lagos-7GHFK
Land With C Of O,38000000,0,0,0,Off Lekki Epe Expressway,Ajah,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/land-for-sale-off-lekki-epe-expressway-ajah-lagos-5GHJN
2 Bedroom Bungalow,28000000,0,2,0,,Kurudu,Abuja,ServicedNewly Built,08036411790,1,https://www.propertypro.ng/property/2-bedroom-house-for-sale-kurudu-abuja-4GHPD
4bedroom Semi Detached Duplex,85000000, ,4, ,Spacious Well Built Semi Detached Duplex Ologolo,Lekki,Lagos,Newly Built,08036411790,1,https://www.propertypro.ng/property/4-bedroom-house-for-sale-spacious-well-built-semi-detached-duplex-ologolo-lekki-lagos-1GHSV
Land With C Of O,85000000,0,0,0,"Lakeview Estate,",Lekki,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/land-for-sale-lakeview-estate-lekki-lagos-7GJDX
4 Bedroom Semi Detached Duplex,82500000,0,4,0,Ogombo,Ajah,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ogombo-ajah-lagos-3GJDY
6 Bedroom Detached Duplex,750000000,0,6,0,Osapa London,Lekki,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/6-bedroom-house-for-sale-osapa-london-lekki-lagos-6GJFV
4 Bedroom Semi Detached Duplex,120000000,0,4,0,Ikate,Lekki,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-3GJGB
2 Bedroom Apartment,70000000,0,2,0,Lekki Phase 1,Lekki,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-2GJGU
3 Bedroom Apartment,110000000,0,3,0,Lekki Phase 1,Lekki,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-9GJGV
4 Bedroom Terrace Duplex,52000000,0,4,0,"Ikota Villa Estate By 2nd Toll Gate,, Proximity To Mega Chicken Ikota",Lekki,Lagos,FurnishedServiced,08036411790,1,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-villa-estate-by-2nd-toll-gate-proximity-to-mega-chicken-ikota-lekki-lagos-4GJWS
3 Bedroom Terrace Duplex,47000000,0,3,0,"By Chevron 2nd Toll Gate, Close Proximity To Mega Chicken Ikota",Lekki,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/3-bedroom-house-for-sale-by-chevron-2nd-toll-gate-close-proximity-to-mega-chicken-ikota-lekki-lagos-8GJXL
5 Bedroom Fully Detached Duplex,160000000,0,5,0,Ikate,Lekki,Lagos,,08036411790,12,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-6GKSN
5 Bedroom Fully Detached Duplex,100000000,0,5,0,Ikota,Lekki,Lagos,ServicedNewly Built,08036411790,12,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-2GKSP
4 Bedroom Terrace Duplex,55000000,0,4,0,"Mega Chicken, Ikota",Lekki,Lagos,FurnishedServicedNewly Built,08036411790,12,https://www.propertypro.ng/property/4-bedroom-house-for-sale-mega-chicken-ikota-lekki-lagos-8GKSP
4 Bedroom Terrace Duplex,29000000,0,4,0,Magboro Obafemi,Owode,Ogun,,08036411790,12,https://www.propertypro.ng/property/4-bedroom-house-for-sale-magboro-obafemi-owode-ogun-3GKUA
4 Bedroom Terrace Duplex,55000000,0,4,0,Ikota,Lekki,Lagos,,08036411790,12,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-6GLAY
5 Bedroom Fully Detached Duplex With Bq,120000000,0,5,0,Ikota,Lekki,Lagos,ServicedNewly Built,08036411790,12,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-8GLAZ
Land,50000000,0,0,0,Lekki Scheme 2,Ajah,Lagos,Serviced,08036411790,12,https://www.propertypro.ng/property/land-for-sale-lekki-scheme-2-ajah-lagos-6GLJT
Land With C Of O For Sale,55000000, , , ,Lekki Scheme 2,Ajah,Lagos,,08036411790,12,https://www.propertypro.ng/property/land-for-sale-lekki-scheme-2-ajah-lagos-0GLKA
4 Bedroom Semi Detached Duplex,105000000,0,4,0,Ikota,Lekki,Lagos,ServicedNewly Built,08036411790,12,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-3GLLB
Land,6000000,0,0,0,Shapati Bogije Ibeju,Ibeju-Lekki,Lagos,,08036411790,12,https://www.propertypro.ng/property/land-for-sale-shapati-bogije-ibeju-lekki-lagos-0GLLP
5 Bedroom Fully Detached Duplex,145000000,0,5,0,,Ajah,Lagos,Newly Built,08036411790,12,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-5GLUE
5 Bedroom Fully Detached Duplex With Bq,100000000,0,0,0,,Ajah,Lagos,Newly Built,08036411790,12,https://www.propertypro.ng/property/house-for-sale-ajah-lagos-5GLUK
"Lands For Sale At Owerri, Imo State",2000000, , , ,Umuagwu Owerri Port Harcourt Road,Owerri,Imo,,09072222169,12,https://www.propertypro.ng/property/land-for-sale-umuagwu-owerri-port-harcourt-road-owerri-imo-7GVER
Blocks Of Flat,100000000, , , ,Ikotun Egbeda Egbeda,Alimosho,Lagos,,08138310553,12,https://www.propertypro.ng/property/house-for-sale-ikotun-egbeda-egbeda-alimosho-lagos-6GVER
"A Luxuriously Built 4 Bedroom Bungalow, With A 2 Bedroom Bq",25000000,4,4,5,Jericho,Ibadan,Oyo,,08078037213,12,https://www.propertypro.ng/property/4-bedroom-house-for-sale-jericho-ibadan-oyo-9GVEQ
A Newly Renovated Block Of 4 Flats At Iyana Bodija.,30000000, , , ,Bodija,Ibadan,Oyo,,08078037213,12,https://www.propertypro.ng/property/flat-apartment-for-sale-bodija-ibadan-oyo-4GVEQ
Furnished 4 Bedroom Detached Duplex In A Serene Environment,90000000,4,4,5,Progressive Estate Behind 360 Lounge Akala Express,Ibadan,Oyo,FurnishedNewly Built,08057022131,12,https://www.propertypro.ng/property/4-bedroom-house-for-sale-progressive-estate-behind-360-lounge-akala-express-ibadan-oyo-1GVEQ
3 Bedroom Twin Bungalow For Sale,35000000,6,6,8,"Taska, Off Elebu Akala Express",Ibadan,Oyo,Newly Built,08078037213,12,https://www.propertypro.ng/property/6-bedroom-flat-apartment-for-sale-taska-off-elebu-akala-express-ibadan-oyo-0GVEQ
Epe Lagos Lands For Sale,1500000, , , ,Lamutaba Omu,Epe,Lagos,,09072222169,6,https://www.propertypro.ng/property/land-for-sale-lamutaba-omu-epe-lagos-7GVEP
3 Bedroom Semi Detached Bungalow,26100000,3,3,3,"Oribanwa Bustop, Awoyaya",Ajah,Lagos,Newly Built,09056129950,6,https://www.propertypro.ng/property/3-bedroom-house-for-sale-oribanwa-bustop-awoyaya-ajah-lagos-7GGKL
Semi Finished 3bedroom Semi Detached Duplex With Bq,40000000,4,4,4,Bogije,Sangotedo,Lagos,Newly Built,09056129950,6,https://www.propertypro.ng/property/4-bedroom-house-for-sale-bogije-sangotedo-lagos-8GGKN
3 Bedroom Cool Bungalow,28000000,4,3,4,Area 7 Ajao Estate,Isolo,Lagos,,08160758379,6,https://www.propertypro.ng/property/3-bedroom-house-for-sale-area-7-ajao-estate-isolo-lagos-9DLLG
3 Bedroom,28000000,3,3,4,Area 7,Isolo,Lagos,,08160758379,6,https://www.propertypro.ng/property/3-bedroom-house-for-sale-area-7-isolo-lagos-1DLLH
6 Units Of 4 Bedroom Duplexes Comprises Of 3 Fully Detached House And 3 Semi Detached House With Common Area,75000000,5,4,6,Graceland Estate,Ajah,Lagos,Newly Built,08093708615,6,https://www.propertypro.ng/property/4-bedroom-house-for-sale-graceland-estate-ajah-lagos-4GVEP
Spacious 24 Hour Electricity 4 Bedroom Semi Detached Duplex With Bq In A Gated Well Secured Estate With Swimming Pool And Gym,80000000,4,4,5,"North Pointe Estate , Chevron Chevron",Lekki,Lagos,Serviced,08168064058,6,https://www.propertypro.ng/property/4-bedroom-house-for-sale-north-pointe-estate-chevron-chevron-lekki-lagos-6GVEN
450sqm Land*,15000000,0,0,0,Lakowe,Ajah,Lagos,,08136924503,6,https://www.propertypro.ng/property/land-for-sale-lakowe-ajah-lagos-7GVEM
4 Bedroom Semi Detached Duplex,80000000,4,4,4,"Orchid, Lekki, Lagos Chevron",Lekki,Lagos,FurnishedNewly Built,09016700607,6,https://www.propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-chevron-lekki-lagos-9GTCH
Executive 4bed Rooms Duplex With Bq In Isolo Ajao Estate Isolo.lagos Mainland. Cofo,57000000, , , ,Ajao Estate Isolo. Lagos Mainland Ajao Estate,Isolo,Lagos,,08186969203,6,https://www.propertypro.ng/property/house-for-sale-ajao-estate-isolo-lagos-mainland-ajao-estate-isolo-lagos-4GVEM
Newly Built 4 Bedroom Detached Duplex,110000000,4,4,4,"Ikota Villa, Lekki, Lagos Ikota",Lekki,Lagos,FurnishedNewly Built,09016700607,6,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-villa-lekki-lagos-ikota-lekki-lagos-7GUFX
Luxury 5 Bedroom Detached Duplex With Excellent Facilities,140000000,5,5,5,"11, Ologolo, Lekki, Lagos Ologolo",Lekki,Lagos,FurnishedNewly Built,09016700607,6,https://www.propertypro.ng/property/5-bedroom-house-for-sale-11-ologolo-lekki-lagos-ologolo-lekki-lagos-0GVEC
7plots Of Land*,800000000,0,0,0,Idado,Lekki,Lagos,,08136924503,6,https://www.propertypro.ng/property/land-for-sale-idado-lekki-lagos-0GVEM
1000sqm Land*,100000000,0,0,0,Ogudu Orike,Ogudu,Lagos,,08136924503,6,https://www.propertypro.ng/property/land-for-sale-ogudu-orike-ogudu-lagos-6GVEL
A Plot Of Land,65000000,0,0,0,Ajao Estate,Isolo,Lagos,,08186969203,6,https://www.propertypro.ng/property/land-for-sale-ajao-estate-isolo-lagos-7GPLF
Executive 5 Bedroom Duplex,65000000,5,5,5,Ajao Estate,Isolo,Lagos,,08186969203,6,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ajao-estate-isolo-lagos-7GUKU
Plot Of Land D In Opic (corner Pieces),35000000, , , ,Isheri North Gra Isheri North,Ojodu,Lagos,,07036770839,6,https://www.propertypro.ng/property/land-for-sale-isheri-north-gra-isheri-north-ojodu-lagos-9GVEJ
A Clean 3 Bedroom Flat At Spar Road Ikate,80000000,3,3,4,Off Spar Road Ikate,Lekki,Lagos,FurnishedServiced,07038092452,6,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-off-spar-road-ikate-lekki-lagos-8GVEH
800sqm Land*,110000000,0,0,0,Royal Garden Estate,Ajah,Lagos,,08136924503,26,https://www.propertypro.ng/property/land-for-sale-royal-garden-estate-ajah-lagos-4GVEG
Land,5000000,0,0,0,Tayan City Estate Close Proximity To Train Station,Idu,Abuja,,08036411790,26,https://www.propertypro.ng/property/land-for-sale-tayan-city-estate-close-proximity-to-train-station-idu-abuja-5GMBV
4bedroom Semi Detached Duplex With Bq,70000000,0,4,0,Chevron,Lekki,Lagos,Newly Built,08036411790,26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-3GMCB
Luxury 4 Bedroom Flat With Bq,250000000,0,4,0,Off Alfred Rywan,Ikoyi,Lagos,,08036411790,26,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-off-alfred-rywan-ikoyi-lagos-8GMMC
464 Sqm Land,2000000,0,0,0,Verified And Secured Estate Land At Prosperity Court,Okigwe,Imo,Serviced,08036411790,26,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-estate-land-at-prosperity-court-okigwe-imo-9GMRP
Bareland Measuring 950 Square Meters,55000000, , , ,Lekki Phase 2,Lekki,Lagos,,08054797512,26,https://www.propertypro.ng/property/land-for-sale-lekki-phase-2-lekki-lagos-6GFBB
Land For Sale,2500000, , , ,Located In A Prime Location Behind New Enugu New Building Material Market,Enugu,Enugu,,08036411790,26,https://www.propertypro.ng/property/land-for-sale-located-in-a-prime-location-behind-new-enugu-new-building-material-market-enugu-enugu-2GMRS
Newly Built 3 Bedroom Apartment,200000000,3,3,4,,Ikoyi,Lagos,Serviced,07061423237,26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikoyi-lagos-7GRVG
5 Bedroom Semi Detached Duplex,66500000,0,5,0,Osapa London,Lekki,Lagos,,08036411790,26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-2GMRX
500sqms Of Land,20000000,0,0,0,Verified And Secured Commercial Land At The Wealthy Place Ibeju,Ibeju-Lekki,Lagos,Serviced,08036411790,26,https://www.propertypro.ng/property/commercial-property-for-sale-verified-and-secured-commercial-land-at-the-wealthy-place-ibeju-lekki-lagos-6GMUN
500sqm Of Land,20000000,0,0,0,Ibeju,Ibeju-Lekki,Lagos,Serviced,08036411790,26,https://www.propertypro.ng/property/land-for-sale-ibeju-lekki-lagos-9GMUN
Land,60000000,0,0,0,Located In A Safe And Secured Estate Lekki Scheme 2,Ajah,Lagos,Serviced,08036411790,26,https://www.propertypro.ng/property/land-for-sale-located-in-a-safe-and-secured-estate-lekki-scheme-2-ajah-lagos-3GMYM
Land,15000000, , , ,Located In A Prime Location Peace Land Estate By Abraham Adesanya Ogombo,Ajah,Lagos,Serviced,08036411790,26,https://www.propertypro.ng/property/land-for-sale-located-in-a-prime-location-peace-land-estate-by-abraham-adesanya-ogombo-ajah-lagos-8GMYS
2 Bedroom Apartment,70000000,1,2,2,Cluster D1 1004 Victoria,Island,Lagos,Serviced,08054797512,26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-cluster-d1-1004-victoria-island-lagos-3GGDL
4 Bedroom Detached Duplex With Bq,85000000,0,4,0,"Located In A Safe And Secure Estate De Castle Max, Orchid",Lekki,Lagos,Newly Built,08036411790,26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-safe-and-secure-estate-de-castle-max-orchid-lekki-lagos-2GNAJ
300sqms Of Land,15600000,0,0,0,Alaro City Epe Road,Epe,Lagos,,08029081736,26,https://www.propertypro.ng/property/land-for-sale-alaro-city-epe-road-epe-lagos-8GRKU
1 Unit Of 4 Bedroom Detached Duplex,80000000,5,4,5,Ajiwe,Sangotedo,Lagos,Newly Built,08029081736,26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajiwe-sangotedo-lagos-2GRKX
5 Bedroom Flat,150000000,6,5,6,Orchid Road Chevron,Lekki,Lagos,FurnishedServicedNewly Built,08029081736,26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-orchid-road-chevron-lekki-lagos-5GRXP
Newly Built 3 Bedroom Apartment With Bq,85000000, ,3, ,Located In A Safe And Secure Environment Ikeja Gra,Ikeja,Lagos,Newly Built,08036411790,19,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-located-in-a-safe-and-secure-environment-ikeja-gra-ikeja-lagos-9GNBX
5 Bedroom Fully Detached Duplex With Swimming Pool,160000000,0,4,0,Ikate,Lekki,Lagos,Newly Built,08036411790,19,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-8GNCX
5 Bedroom Fully Detached Duplex,195000000,0,5,0,Ikota,Lekki,Lagos,Newly Built,08036411790,19,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-4GNDA
Newly And Beautifully Finish 4 Bedroom Duplex With Bq,250000000, ,4, ,@oduduwa Cresent Ikeja Gra,Ikeja,Lagos,Newly Built,08022038717,19,https://www.propertypro.ng/property/4-bedroom-house-for-sale-oduduwa-cresent-ikeja-gra-ikeja-lagos-5GVEE
3 Bedroom Terrace Duplex,38000000,0,3,0,Located In A Safe And Secure Environment Abijo,Ajah,Lagos,,08036411790,19,https://www.propertypro.ng/property/3-bedroom-house-for-sale-located-in-a-safe-and-secure-environment-abijo-ajah-lagos-7GNHZ
Land For Sale,3500000, , , ,Verified And Secured Land At Renaissance Estate Lacampaigne Tropicana Ibeju,Ibeju-Lekki,Lagos,Serviced,08036411790,19,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-land-at-renaissance-estate-lacampaigne-tropicana-ibeju-lekki-lagos-0GNJR
5 Bedroom Fully Detached Duplex,400000000,0,5,0,Located In A Safe And Secure Environment Osapa London,Lekki,Lagos,Newly Built,08036411790,19,https://www.propertypro.ng/property/5-bedroom-house-for-sale-located-in-a-safe-and-secure-environment-osapa-london-lekki-lagos-7GNNM
Land For Sale At Sangotedo,30000000, , , ,Peace Estate 2 Minutes Away From Lekki Epe Express Way Sangotedo,Ajah,Lagos,Serviced,08036411790,19,https://www.propertypro.ng/property/land-for-sale-peace-estate-2-minutes-away-from-lekki-epe-express-way-sangotedo-ajah-lagos-3GNTB
Land With C Of O For Sale,20000000, , , ,Verified And Secured Estate Land Beside Lekki Free Zone Free Trade Zone Ibeju,Ibeju-Lekki,Lagos,Serviced,08036411790,19,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-estate-land-beside-lekki-free-zone-free-trade-zone-ibeju-lekki-lagos-3GPBG
4 Bedroom Fully Detached Duplex With Bq,130000000,0,4,0,,Lekki,Lagos,Serviced,08036411790,19,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lekki-lagos-0GPCB
Land With Governor's Consent For Sale,30000000, , , ,"Eleko Beach Road, Beside Amen Estate Phase 1 Eleko Ibeju",Ibeju-Lekki,Lagos,Serviced,08036411790,19,https://www.propertypro.ng/property/land-for-sale-eleko-beach-road-beside-amen-estate-phase-1-eleko-ibeju-lekki-lagos-6GPHJ
300sqm Of Land,11000000,0,0,0,Victory Estate Berger,Ojodu,Lagos,,08036411790,19,https://www.propertypro.ng/property/land-for-sale-victory-estate-berger-ojodu-lagos-4GPKZ
Land With C Of O For Sale,12000000, , , ,Crestview Estate Phase1 Ibeju,Ibeju-Lekki,Lagos,Serviced,08036411790,19,https://www.propertypro.ng/property/land-for-sale-crestview-estate-phase1-ibeju-lekki-lagos-9GPLA
1 Bedroom Apartment,37000000,0,1,0,Ikate,Lekki,Lagos,ServicedNewly Built,08036411790,19,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-7GPLB
2 Bedroom Apartment,48000000,0,2,0,Ikate,Lekki,Lagos,Newly Built,08036411790,19,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-2GPLC
3bedroom Flat,45000000,2,3,3,Eric Moore Towers Eric Moore,Surulere,Lagos,,08081672062,19,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-eric-moore-towers-eric-moore-surulere-lagos-6GVED
3 Bedroom Apartment,85000000,0,3,0,Ikeja Gra,Ikeja,Lagos,Newly Built,08036411790,19,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-2GPLQ
"For Sale!!! A Well Designed Ensuites & Thoroughly Maintained Contemporary 4bd Detached Duplex With Ante Room @ Aladura Estate, Anthony Village, Lagos.",80000000,4,4,5,Aladura Estate Anthony Village,Maryland,Lagos,,08104023774,19,https://www.propertypro.ng/property/4-bedroom-house-for-sale-aladura-estate-anthony-village-maryland-lagos-3GVED
Land For Sale At Banana Island,1300000, , , ,Banana Island,Ikoyi,Lagos,,08036411790,9,https://www.propertypro.ng/property/land-for-sale-banana-island-ikoyi-lagos-2GPLS
4 Bedroom Detached Duplex With Bq,80000000,0,4,0,Located In A Prime Location Less Than 2 Minutes Away From Lekki Epe Express Way Abijo,Ajah,Lagos,,08036411790,9,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-prime-location-less-than-2-minutes-away-from-lekki-epe-express-way-abijo-ajah-lagos-6GPMA
5 Bedroom Fully Detached Duplex,650000000,0,5,0,Located In A Safe And Secured Estate Old Ikoyi,Ikoyi,Lagos,Newly Built,08036411790,9,https://www.propertypro.ng/property/5-bedroom-house-for-sale-located-in-a-safe-and-secured-estate-old-ikoyi-ikoyi-lagos-0GPMB
3 Bedroom Maisonette,85000000,0,3,0,Off Freedom Way Lekki Phase 1,Lekki,Lagos,Serviced,08036411790,9,https://www.propertypro.ng/property/3-bedroom-house-for-sale-off-freedom-way-lekki-phase-1-lekki-lagos-5GPMB
Land With C Of O For Sale,26000000, , , ,Ibeju,Ibeju-Lekki,Lagos,FurnishedServiced,08036411790,9,https://www.propertypro.ng/property/land-for-sale-ibeju-lekki-lagos-2GPPK
Land With C Of O For Sale,15600000, , , ,Ibeju,Ibeju-Lekki,Lagos,Serviced,08036411790,9,https://www.propertypro.ng/property/land-for-sale-ibeju-lekki-lagos-6GPQQ
