listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
Uncompleted Detached House On 600sqm Of Land,60000000,0,0,0,"Blessing Estate, Amuwo Odofin Amuwo",Odofin,Lagos,,08054797512,8,https://www.propertypro.ng/property/house-for-sale-blessing-estate-amuwo-odofin-amuwo-odofin-lagos-7GLDF
Bareland Measuring 1300sqm,30000000,0,0,0,Abijo Gra Abijo,Ajah,Lagos,,08054797512,8,https://www.propertypro.ng/property/land-for-sale-abijo-gra-abijo-ajah-lagos-1GMVK
Serviced 4 Bedroom Maissonette,75000000,3,4,4,"Ilupeju Court, Off Town Planning Way, Ilupeju Ilupeju Industrial Estate",Ilupeju,Lagos,Serviced,08054797512,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ilupeju-court-off-town-planning-way-ilupeju-ilupeju-industrial-estate-ilupeju-lagos-3GRKX
Fenced And Gated 2nos Block Of Flat On 2plots Of Land Measuring 1078sqyrds,200000000, , , ,Falolu Street Ogunlana,Surulere,Lagos,,08081672062,8,https://www.propertypro.ng/property/house-for-sale-falolu-street-ogunlana-surulere-lagos-6GVEB
5 Bedroom Fully Detached Duplex,350000000,0,5,0,Located In A Safe And Secured Estate Osapa London,Lekki,Lagos,ServicedNewly Built,08036411790,8,https://www.propertypro.ng/property/5-bedroom-house-for-sale-located-in-a-safe-and-secured-estate-osapa-london-lekki-lagos-4GSHQ
5 Bedroom Fully Detached Duplex,250000000,0,5,0,Lekki County Estate Ikota,Lekki,Lagos,ServicedNewly Built,08036411790,8,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-county-estate-ikota-lekki-lagos-1GSHV
4 Bedroom Townhouse For Sale At Abiola Court,60000000,4,4,5,Abiola Court Osapa London,Lekki,Lagos,Serviced,08168064058,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-abiola-court-osapa-london-lekki-lagos-0GVEA
Newly Built 4 Bedroom Fully Detached Duplex With Swimming Pool And Bq,75000000,4,4,5,Ajah,Ajah,Lagos,Newly Built,09034504273,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-ajah-lagos-4GJLJ
4 Bedroom Semi Detached Duplex,90000000,0,4,0,Ologolo,Lekki,Lagos,Newly Built,08036411790,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-4GSJM
4 Bedroom Terrace Duplex,450000000,0,4,0,Located In A Prime Location,Ikoyi,Lagos,ServicedNewly Built,08036411790,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-prime-location-ikoyi-lagos-3GSPU
