listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL,dateUpdated
2 Bedroom Massionette,56000000,0,2,0,,Ajah,Lagos,Newly Built,08036411790,1,https://www.propertypro.ng/property/2-bedroom-house-for-sale-millennial-town-hockley-abijo-facing-lekki-epe-express-way-abijo-ajah-lagos-1GHES,28 Mar 2022
Land,60000000,0,0,0,,Ajah,Lagos,Newly Built,08036411790,3,https://www.propertypro.ng/property/land-for-sale-peninsula-estate-ajah-lagos-7GHFK,29 Mar 2022
4 Bedroom Terrace Duplex,75000000, ,4, ,,Ajah,Lagos,Serviced,08036411790,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-emilia-garden-estate-by-atican-beachoff-abraham-adesanya-ajah-lagos-0GHPD,30 Mar 2022
2 Bedroom Bungalow,28000000,0,2,0,Kurudu Abuja,Kurudu,Abuja,Serviced,08036411790,5,https://www.propertypro.ng/property/2-bedroom-house-for-sale-kurudu-abuja-4GHPD,31 Mar 2022
4bedroom Semi Detached Duplex,85000000, ,4, ,,Lekki,Lagos,Serviced,08036411790,13,https://www.propertypro.ng/property/4-bedroom-house-for-sale-spacious-well-built-semi-detached-duplex-ologolo-lekki-lagos-1GHSV,01 Apr 2022
Land With C Of O,85000000,0,0,0,,Lekki,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/land-for-sale-lakeview-estate-lekki-lagos-7GJDX,05 Apr 2022
4 Bedroom Semi Detached Duplex,82500000,0,4,0,Ajah,Ajah,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ogombo-ajah-lagos-3GJDY,05 Apr 2022
6 Bedroom Detached Duplex,750000000,0,6,0,,Lekki,Lagos,Serviced,08036411790,23,https://www.propertypro.ng/property/6-bedroom-house-for-sale-osapa-london-lekki-lagos-6GJFV,05 Apr 2022
4 Bedroom Semi Detached Duplex,120000000,0,4,0,Lekki,Lekki,Lagos,Serviced,08036411790,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-3GJGB,05 Apr 2022
2 Bedroom Apartment,70000000,0,2,0,,Lekki,Lagos,Serviced,08036411790,13,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-2GJGU,05 Apr 2022
4 Bedroom Terrace Duplex,52000000,0,4,0,,Lekki,Lagos,Serviced,08036411790,11,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-villa-estate-by-2nd-toll-gate-proximity-to-mega-chicken-ikota-lekki-lagos-4GJWS,10 Apr 2022
3 Bedroom Terrace Duplex,47000000,0,3,0,,Lekki,Lagos,Serviced,08036411790,13,https://www.propertypro.ng/property/3-bedroom-house-for-sale-by-chevron-2nd-toll-gate-close-proximity-to-mega-chicken-ikota-lekki-lagos-8GJXL,10 Apr 2022
2 Bedroom Terrace Duplex,38000000,0,2,0,,Lekki,Lagos,Serviced,08036411790,11,https://www.propertypro.ng/property/2-bedroom-house-for-sale-chevron-2nd-toll-gate-close-proximity-to-mega-chicken-ikota-lekki-lagos-3GJXN,10 Apr 2022
5 Bedroom Fully Detached Duplex,160000000,0,5,0,Lekki,Lekki,Lagos,Serviced,08036411790,13,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-6GKSN,16 Apr 2022
5 Bedroom Fully Detached Duplex,100000000,0,5,0,Lekki,Lekki,Lagos,Serviced,08036411790,11,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-2GKSP,16 Apr 2022
4 Bedroom Terrace Duplex,55000000,0,4,0,,Lekki,Lagos,Serviced,08036411790,12,https://www.propertypro.ng/property/4-bedroom-house-for-sale-mega-chicken-ikota-lekki-lagos-8GKSP,16 Apr 2022
4 Bedroom Terrace Duplex,29000000,0,4,0,,Owode,Ogun,Serviced,08036411790,3,https://www.propertypro.ng/property/4-bedroom-house-for-sale-magboro-obafemi-owode-ogun-3GKUA,17 Apr 2022
4 Bedroom Terrace Duplex,55000000,0,4,0,Lekki,Lekki,Lagos,Serviced,08036411790,2,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-6GLAY,20 Apr 2022
5 Bedroom Fully Detached Duplex With Bq,120000000,0,5,0,Lekki,Lekki,Lagos,Serviced,08036411790,15,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-8GLAZ,20 Apr 2022
Land,50000000,0,0,0,,Ajah,Lagos,Serviced,08036411790,3,https://www.propertypro.ng/property/land-for-sale-lekki-scheme-2-ajah-lagos-6GLJT,22 Apr 2022
Land,3200000,0,0,0,,Ibeju-Lekki,Lagos,Newly Built,08036411790,3,https://www.propertypro.ng/property/land-for-sale-eleranigbe-ibeju-lekki-lagos-7GLKS,22 Apr 2022
4 Bedroom Semi Detached Duplex,105000000,0,4,0,Lekki,Lekki,Lagos,Newly Built,08036411790,14,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-3GLLB,22 Apr 2022
Land,6000000,0,0,0,,Ibeju-Lekki,Lagos,Newly Built,08036411790,4,https://www.propertypro.ng/property/land-for-sale-shapati-bogije-ibeju-lekki-lagos-0GLLP,22 Apr 2022
5 Bedroom Fully Detached Duplex,145000000,0,5,0,Ajah Lagos,Ajah,Lagos,Newly Built,08036411790,16,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-5GLUE,25 Apr 2022
5 Bedroom Fully Detached Duplex With Bq,100000000,0,0,0,Ajah Lagos,Ajah,Lagos,Newly Built,08036411790,15,https://www.propertypro.ng/property/house-for-sale-ajah-lagos-5GLUK,25 Apr 2022
Contemporary 5 Bedroom Detached House With Swimming Pool And Bq,150000000,6,5,7,,Lekki,Lagos,Newly Built,08160971667,24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-chevron-toll-gate-lekki-lagos-0GVHT,22 Jun 2022
Land,5000000,0,0,0,,Idu,Abuja,Newly Built,08036411790,6,https://www.propertypro.ng/property/land-for-sale-tayan-city-estate-close-proximity-to-train-station-idu-abuja-5GMBV,27 Apr 2022
4bedroom Semi Detached Duplex With Bq,70000000,0,4,0,Lekki,Lekki,Lagos,Newly Built,08036411790,26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-3GMCB,27 Apr 2022
464 Sqm Land,2000000,0,0,0,,Okigwe,Imo,Newly Built,08036411790,1,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-estate-land-at-prosperity-court-okigwe-imo-9GMRP,03 May 2022
Land For Sale,2500000, , , ,,Enugu,Enugu,Newly Built,08036411790,1,https://www.propertypro.ng/property/land-for-sale-located-in-a-prime-location-behind-new-enugu-new-building-material-market-enugu-enugu-2GMRS,03 May 2022
Land For Sale,2000000, , , ,,Enugu,Enugu,Newly Built,08036411790,1,https://www.propertypro.ng/property/land-for-sale-located-in-a-prime-location-behind-godfrey-okoye-university-emene-enugu-enugu-2GMRU,03 May 2022
5 Bedroom Semi Detached Duplex,66500000,0,5,0,,Lekki,Lagos,Newly Built,08036411790,8,https://www.propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-2GMRX,03 May 2022
500sqms Of Land,20000000,0,0,0,,Ibeju-Lekki,Lagos,Newly Built,08036411790,7,https://www.propertypro.ng/property/commercial-property-for-sale-verified-and-secured-commercial-land-at-the-wealthy-place-ibeju-lekki-lagos-6GMUN,04 May 2022
500sqm Of Land,20000000,0,0,0,Lekki,Ibeju-Lekki,Lagos,Newly Built,08036411790,7,https://www.propertypro.ng/property/land-for-sale-ibeju-lekki-lagos-9GMUN,04 May 2022
4 Bedroom Semi Detached Duplex,130000000,0,4,0,,Lekki,Lagos,Newly Built,08036411790,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-safe-and-secure-environment-ikate-lekki-lagos-9GNBP,05 May 2022
Land,60000000,0,0,0,,Ajah,Lagos,Newly Built,08036411790,2,https://www.propertypro.ng/property/land-for-sale-located-in-a-safe-and-secured-estate-lekki-scheme-2-ajah-lagos-3GMYM,05 May 2022
Land,15000000, , , ,,Ajah,Lagos,Newly Built,08036411790,2,https://www.propertypro.ng/property/land-for-sale-located-in-a-prime-location-peace-land-estate-by-abraham-adesanya-ogombo-ajah-lagos-8GMYS,05 May 2022
4 Bedroom Detached Duplex With Bq,85000000,0,4,0,,Lekki,Lagos,Newly Built,08036411790,56,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-safe-and-secure-estate-de-castle-max-orchid-lekki-lagos-2GNAJ,05 May 2022
5 Bedroom Fully Detached Duplex With Swimming Pool,160000000,0,4,0,Lekki,Lekki,Lagos,Serviced,08036411790,11,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-8GNCX,06 May 2022
5 Bedroom Fully Detached Duplex,195000000,0,5,0,Lekki,Lekki,Lagos,Serviced,08036411790,19,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-4GNDA,06 May 2022
3 Bedroom Terrace Duplex,38000000,0,3,0,,Ajah,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/3-bedroom-house-for-sale-located-in-a-safe-and-secure-environment-abijo-ajah-lagos-7GNHZ,08 May 2022
Land For Sale,3500000, , , ,,Ibeju-Lekki,Lagos,Serviced,08036411790,1,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-land-at-renaissance-estate-lacampaigne-tropicana-ibeju-lekki-lagos-0GNJR,08 May 2022
Brand New And Luxury 5 Bedroom Detached Duplex With Swimming Pool,280000000,6,5,7,,Lekki,Lagos,Serviced,08160971667,40,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lakeview-park-estate-vgc-lekki-lagos-9GVHR,22 Jun 2022
5 Bedroom Fully Detached Duplex,400000000,0,5,0,,Lekki,Lagos,Serviced,08036411790,20,https://www.propertypro.ng/property/5-bedroom-house-for-sale-located-in-a-safe-and-secure-environment-osapa-london-lekki-lagos-7GNNM,09 May 2022
Land For Sale At Sangotedo,30000000, , , ,,Ajah,Lagos,Serviced,08036411790,7,https://www.propertypro.ng/property/land-for-sale-peace-estate-2-minutes-away-from-lekki-epe-express-way-sangotedo-ajah-lagos-3GNTB,10 May 2022
Land With C Of O For Sale,20000000, , , ,,Ibeju-Lekki,Lagos,Serviced,08036411790,3,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-estate-land-facing-lekki-epe-express-way-ibeju-lekki-lagos-8GPAZ,12 May 2022
2units Of 3 Bedroom Flat And 3units Of 1 Bedroom For Sale In Lokoja.,15000000, , , ,,Lokoja,Kogi,Serviced,07067964004,2,https://www.propertypro.ng/property/flat-apartment-for-sale-gwararafa-layoutlokoja-kogi-state-lokoja-kogi-8GVHQ,22 Jun 2022
Luxury And Spacious 4 Bedroom Terrace Duplex With Swimming Pool,70000000,5,4,5,Lekki,Lekki,Lagos,Serviced,08160971667,28,https://www.propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-7GVHQ,22 Jun 2022
Land With C Of O For Sale,20000000, , , ,,Ibeju-Lekki,Lagos,Serviced,08036411790,2,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-estate-land-beside-lekki-free-zone-free-trade-zone-ibeju-lekki-lagos-3GPBG,12 May 2022
4 Bedroom Fully Detached Duplex With Bq,130000000,0,4,0,Lekki Lagos,Lekki,Lagos,Serviced,08036411790,11,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lekki-lagos-0GPCB,13 May 2022
Land With Governor's Consent For Sale,30000000, , , ,,Ibeju-Lekki,Lagos,Serviced,08036411790,2,https://www.propertypro.ng/property/land-for-sale-eleko-beach-road-beside-amen-estate-phase-1-eleko-ibeju-lekki-lagos-6GPHJ,14 May 2022
Commercial Land With C Of O For Sale,60000000, , , ,,Ibeju-Lekki,Lagos,Serviced,08036411790,4,https://www.propertypro.ng/property/land-for-sale-facing-eleko-beach-road-beside-amen-estate-phase-1-eleko-ibeju-lekki-lagos-0GPHS,14 May 2022
300sqm Of Land,11000000,0,0,0,,Ojodu,Lagos,Serviced,08036411790,3,https://www.propertypro.ng/property/land-for-sale-victory-estate-berger-ojodu-lagos-4GPKZ,15 May 2022
Land With C Of O For Sale,12000000, , , ,,Ibeju-Lekki,Lagos,Serviced,08036411790,3,https://www.propertypro.ng/property/land-for-sale-crestview-estate-phase1-ibeju-lekki-lagos-9GPLA,15 May 2022
1 Bedroom Apartment,37000000,0,1,0,Lekki,Lekki,Lagos,Serviced,08036411790,10,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-7GPLB,15 May 2022
2 Bedroom Apartment,48000000,0,2,0,Lekki,Lekki,Lagos,Serviced,08036411790,13,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-2GPLC,15 May 2022
4 Bedroom Detached Duplex,250000000,0,4,0,,Island,Lagos,Newly Built,08036411790,11,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-prime-location-oniru-estate-oniru-victoria-island-lagos-7GPLQ,15 May 2022
Land For Sale At Banana Island,1300000, , , ,,Ikoyi,Lagos,Newly Built,08036411790,1,https://www.propertypro.ng/property/land-for-sale-banana-island-ikoyi-lagos-2GPLS,15 May 2022
4 Bedroom Detached Duplex With Bq,80000000,0,4,0,,Ajah,Lagos,Newly Built,08036411790,11,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-prime-location-less-than-2-minutes-away-from-lekki-epe-express-way-abijo-ajah-lagos-6GPMA,16 May 2022
5 Bedroom Fully Detached Duplex,650000000,0,5,0,,Ikoyi,Lagos,Newly Built,08036411790,9,https://www.propertypro.ng/property/5-bedroom-house-for-sale-located-in-a-safe-and-secured-estate-old-ikoyi-ikoyi-lagos-0GPMB,16 May 2022
3 Bedroom Maisonette,85000000,0,3,0,,Lekki,Lagos,Newly Built,08036411790,1,https://www.propertypro.ng/property/3-bedroom-house-for-sale-off-freedom-way-lekki-phase-1-lekki-lagos-5GPMB,16 May 2022
Land With C Of O For Sale,26000000, , , ,Lekki,Ibeju-Lekki,Lagos,Newly Built,08036411790,5,https://www.propertypro.ng/property/land-for-sale-ibeju-lekki-lagos-2GPPK,16 May 2022
Land With C Of O For Sale,15600000, , , ,Lekki,Ibeju-Lekki,Lagos,Newly Built,08036411790,4,https://www.propertypro.ng/property/land-for-sale-ibeju-lekki-lagos-6GPQQ,17 May 2022
Contemporary 4 Bedroom Detached House With Boys Quarter,85000000,5,4,6,,Lekki,Lagos,Newly Built,08160971667,31,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-2-lekki-lagos-1GVHQ,22 Jun 2022
Land For Sale,40000000, , , ,,Ajah,Lagos,Newly Built,08036411790,3,https://www.propertypro.ng/property/land-for-sale-off-lekki-epe-expressway-ajah-lagos-3GQCP,19 May 2022
2 Bedroom Apartment,90000000,0,2,0,,Island,Lagos,Newly Built,08036411790,21,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-oniru-victoria-island-lagos-7GQJC,21 May 2022
4 Bedroom Terrace Duplex,90000000,0,4,0,Gbagada Lagos,Gbagada,Lagos,Newly Built,08036411790,11,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gbagada-lagos-9GQJD,21 May 2022
4 Bedroom Terrace Duplex,60000000,0,4,0,Lekki,Lekki,Lagos,Newly Built,08036411790,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-7GQJL,21 May 2022
2 Bedroom Apartment,710000,0,2,0,,Island,Lagos,Newly Built,08036411790,25,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-eko-atlantic-victoria-island-lagos-3GQJP,21 May 2022
3 Bedroom Apartment,875000,0,0,0,,Island,Lagos,Newly Built,08036411790,25,https://www.propertypro.ng/property/flat-apartment-for-sale-eko-atlantic-victoria-island-lagos-9GQJQ,21 May 2022
3 Bedroom Penthouse,2420000,0,3,0,,Island,Lagos,Newly Built,08036411790,25,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-eko-atlantic-victoria-island-lagos-8GQJS,21 May 2022
1665sqms Of Land,1600000,0,0,0,,Ikoyi,Lagos,Newly Built,08036411790,3,https://www.propertypro.ng/property/land-for-sale-located-in-a-safe-and-secured-estate-banana-island-ikoyi-lagos-0GSBR,01 Jun 2022
3 Bedroom Apartment,130000000,0,3,0,,Lekki,Lagos,Newly Built,08036411790,11,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-1GSBV,01 Jun 2022
4 Bedroom Terrace Duplex,200000000,0,4,0,,Lekki,Lagos,Newly Built,08036411790,21,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-prime-location-lekki-phase-1-lekki-lagos-3GSJA,03 Jun 2022
4 Bedroom Fully Detached Duplex,110000000,0,4,0,,Lekki,Lagos,ServicedNewly Built,08036411790,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-located-in-a-prime-location-ologolo-lekki-lagos-6GSJP,03 Jun 2022
4 Bedroom Semi Detached Duplex,77500000,0,4,0,Lekki,Lekki,Lagos,ServicedNewly Built,08036411790,3,https://www.propertypro.ng/property/4-bedroom-house-for-sale-vgc-lekki-lagos-8GUDG,15 Jun 2022
5 Bedroom Fully Detached Duplex,700000000,0,5,0,,Ikoyi,Lagos,ServicedNewly Built,08036411790,15,https://www.propertypro.ng/property/5-bedroom-house-for-sale-located-in-a-prime-location-ikoyi-lagos-6GUEG,15 Jun 2022
5 Bedroom Fully Detached Duplex,300000000,0,5,0,,Lekki,Lagos,ServicedNewly Built,08036411790,26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-northern-foreshore-chevron-lekki-lagos-9GURD,18 Jun 2022
Contemporary And Spacious 4 Bedroom Detached House With Bq,110000000,5,4,6,Lekki,Lekki,Lagos,ServicedNewly Built,08160971667,33,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-0GVHP,22 Jun 2022
4 Bedroom Terrace Duplex,75000000,4,4,5,,Surulere,Lagos,ServicedNewly Built,08027482270,12,https://www.propertypro.ng/property/4-bedroom-house-for-sale-afri-road-by-leadeway-iponri-surulere-alaka-iponri-surulere-lagos-6GUCF,14 Jun 2022
Brand New And Luxury 4 Bedroom Detached Duplex With Bq,130000000,5,4,6,Lekki,Lekki,Lagos,ServicedNewly Built,08160971667,24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-4GVHN,22 Jun 2022
Tastefully Finished 4 Bedroom Semi Detached House With Boys Quarter,80000000,5,4,6,Lekki,Lekki,Lagos,ServicedNewly Built,08160971667,32,https://www.propertypro.ng/property/4-bedroom-house-for-sale-vgc-lekki-lagos-8GVHM,22 Jun 2022
Luxury And Spacious 4 Bedroom Terrace Duplex With Swimming Pool,60000000,4,4,5,Lekki,Lekki,Lagos,ServicedNewly Built,08160971667,29,https://www.propertypro.ng/property/4-bedroom-house-for-sale-vgc-lekki-lagos-2GVHM,22 Jun 2022
4 Units Of 4 Bedroom Semi Detached Duplex With 2 Room Bq,200000000,4,4,4,,Gwarinpa,Abuja,ServicedNewly Built,08054797512,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-111-road-gwarinpa-gwarinpa-abuja-3FZMM,01 Feb 2022
Newly Built 5 Bedroom Semi Detached House,125000000,0,0,0,,Sangotedo,Lagos,ServicedNewly Built,07064694261,11,https://www.propertypro.ng/property/house-for-sale-fountain-spring-estate-monastery-road-sangotedo-lagos-6GTMQ,10 Jun 2022
4 Bedroom Flat (ground Floor) Of 8 Block Apartment,40000000,4,4,4,,1,Abuja,ServicedNewly Built,08054797512,1,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-mbabone-street-wuse-zone-6-wuse-1-abuja-9FZUE,03 Feb 2022
Gated Land In Mowe Ogun State,4500000, , , ,,Owode,Ogun,ServicedNewly Built,07036360494,3,https://www.propertypro.ng/property/land-for-sale-inside-bluestone-garden-city-tipper-bus-stop-mowe-ofada-mowe-obafemi-owode-ogun-4FNSX,22 Oct 2021
6 Numbers Of 3 Bedroom Terrace Duplex,430000000,3,3,4,,Lekki,Lagos,ServicedNewly Built,07064694261,3,https://www.propertypro.ng/property/3-bedroom-house-for-sale-chisco-ikate-lekki-lagos-4GSAR,01 Jun 2022
Dry Virgin Land In Mowe Ogun State,4500000, , , ,,Owode,Ogun,ServicedNewly Built,07036360494,4,https://www.propertypro.ng/property/land-for-sale-mowe-bus-stop-inside-bluestone-garden-city-mowe-mowe-obafemi-owode-ogun-8FDVW,12 Aug 2021
Developed Estate Land In Ikola Ipaja Lagos,13500000, , , ,,Ipaja,Lagos,ServicedNewly Built,07036360494,3,https://www.propertypro.ng/property/land-for-sale-ikola-road-command-area-ikola-ipaja-lagos-state-ipaja-road-ipaja-lagos-9FNSX,22 Oct 2021
A Prime School Land.,70000000, , , ,Lugbe,Lugbe,Abuja,ServicedNewly Built,08054797512,1,https://www.propertypro.ng/property/land-for-sale-sabon-lugbe-abuja-0GAAD,04 Feb 2022
A 25 Suites Of One Bedroom Apartments,500000000, , , ,,1,Abuja,ServicedNewly Built,08054797512,1,https://www.propertypro.ng/property/flat-apartment-for-sale-gonder-street-wuse-1-abuja-4GAAG,04 Feb 2022
Gated Estate In Ikola Ipaja Command Lagos State,13500000, , , ,,Ipaja,Lagos,Serviced,07036360494,3,https://www.propertypro.ng/property/land-for-sale-ikola-road-command-area-ipaja-lagos-state-nigeria-ipaja-ipaja-lagos-2FPHX,27 Oct 2021
An Exquisite 4 Units Of 2 Bedroom Bungalows,90000000,2,2,2,Gwarinpa,Gwarinpa,Abuja,Serviced,08054797512,1,https://www.propertypro.ng/property/2-bedroom-house-for-sale-dawaki-gwarinpa-abuja-6GBUK,17 Feb 2022
Virgin Land With Genuine Documents In Ikola,13500000, , , ,,Ipaja,Lagos,Serviced,07036360494,5,https://www.propertypro.ng/property/land-for-sale-ikola-alagbado-road-command-area-ipaja-road-ipaja-lagos-5FPVB,01 Nov 2021
Genuine Solid Land In Ikola Ipaja Lagos State,13500000, , , ,,Ipaja,Lagos,Serviced,07036360494,4,https://www.propertypro.ng/property/land-for-sale-ikola-alagbado-road-ikola-ipaja-ipaja-lagos-5FQCA,03 Nov 2021
Land With Excision In Ibeju Lekki Lagos,5000000, , , ,,Ibeju-Lekki,Lagos,Serviced,07036360494,3,https://www.propertypro.ng/property/land-for-sale-beside-the-ibeju-lekki-general-hospital-ibeju-akodo-ise-ibeju-lekki-lagos-0FRET,13 Nov 2021
Investment Friendly Land In Ayobo Lagos,10000000, , , ,,Ipaja,Lagos,Serviced,07036360494,4,https://www.propertypro.ng/property/land-for-sale-mopol-junction-ayobo-ayetoro-lagos-state-nigeria-ayobo-ipaja-lagos-8GDWJ,05 Mar 2022
Virgin Land With Genuine Documents In Ayobo Lagos State,10000000, , , ,,Ipaja,Lagos,Serviced,07036360494,4,https://www.propertypro.ng/property/land-for-sale-mopol-junction-ayobo-ayetoro-lagos-state-nigeria-ayobo-ipaja-lagos-0GDWK,05 Mar 2022
Genuine Land In Ayobo Ipaja Lagos State,10000000, , , ,,Ipaja,Lagos,Serviced,07036360494,6,https://www.propertypro.ng/property/land-for-sale-mopol-junction-ayobo-ayetoro-ayobo-ipaja-lagos-3GDWK,05 Mar 2022
Roadside Land In Ayobo Ipaja Lagos State,10000000, , , ,,Ipaja,Lagos,Serviced,07036360494,5,https://www.propertypro.ng/property/land-for-sale-mopol-junction-ayobo-ayetoro-lagos-state-ayobo-ipaja-lagos-6GEQZ,10 Mar 2022
Land With Genuine Documents In Mowe Ogun State,4500000, , , ,,Owode,Ogun,Serviced,07036360494,5,https://www.propertypro.ng/property/land-for-sale-bluestone-garden-city-tipper-bus-stop-mowe-ogun-state-mowe-obafemi-owode-ogun-8GFGB,15 Mar 2022
"Brand New 5 Bedroom Duplex With Studio Room, Lounge, Bq Etc",190000000,6,5,6,,Lekki,Lagos,Serviced,09055294872,3,https://www.propertypro.ng/property/5-bedroom-house-for-sale-inside-a-secured-estate-ikate-elegunshi-ikate-lekki-lagos-8GVHK,22 Jun 2022
Land With Genuine Documents In Ayobo Ipaja Lagos,10000000, , , ,,Ipaja,Lagos,Serviced,07036360494,5,https://www.propertypro.ng/property/land-for-sale-mopol-junction-ayobo-ayetoro-lagos-state-ayobo-ipaja-lagos-4GPTQ,17 May 2022
Affordable Land In Ayobo Ipaja Lagos State,10000000, , , ,,Ipaja,Lagos,Serviced,07036360494,5,https://www.propertypro.ng/property/land-for-sale-mopol-junction-ayobo-ayetoro-ayobo-ipaja-lagos-0GULA,16 Jun 2022
Tastefully Finished 4 Bedroom Detached Duplex With Boys Quarter,105000000,5,4,6,,Ojodu,Lagos,Serviced,08160971667,23,https://www.propertypro.ng/property/4-bedroom-house-for-sale-isheri-north-ojodu-lagos-5GVHK,22 Jun 2022
Brand New 4 Bedroom Semi Detached Duplex With Bq,80000000,5,4,6,Lekki,Lekki,Lagos,Serviced,08160971667,27,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-0GVHH,22 Jun 2022
Luxury And Spacious 4 Bedroom Semi Detached Duplex With Bq,110000000,5,4,6,Lekki,Lekki,Lagos,Serviced,08160971667,25,https://www.propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-8GVHF,22 Jun 2022
4 Bedroom Detached Duplex,65000000,4,4,5,,Lekki,Lagos,Serviced,07083154079,15,https://www.propertypro.ng/property/4-bedroom-house-for-sale-admiralty-estate-by-alpha-beach-new-road-igbo-efon-lekki-lagos-1GURN,18 Jun 2022
"Tastefully Finished Four (4) Bedroom Detached Duplex With All Rooms Ensuite Plus Two Bedroom Bq, In A Beautiful Secure And Serene Estate With Tarred Roads In And Out.",150000000,5,4,5,,Camp,Abuja,Serviced,07083154079,18,https://www.propertypro.ng/property/4-bedroom-house-for-sale-marcon-estate-life-camp-abuja-5GUFS,15 Jun 2022
Guest House,15000000,9,9,1,,Owode,Ogun,ServicedNewly Built,09032132617,11,https://www.propertypro.ng/property/9-bedroom-commercial-property-for-sale-magboro-obafemi-owode-ogun-3GUPX,17 Jun 2022
5 Bedroom Bungalow,85000000,6,5,6,,Ibadan,Oyo,ServicedNewly Built,08072989487,3,https://www.propertypro.ng/property/5-bedroom-house-for-sale-queen-school-gra-oluyole-estate-ibadan-oyo-4GDWN,05 Mar 2022
3 Bedroom Terrace Duplex,49000000,3,3,4,,Lekki,Lagos,ServicedNewly Built,08068892696,5,https://www.propertypro.ng/property/3-bedroom-house-for-sale-harris-drive-by-vgc-ikota-lekki-lagos-3GLZU,27 Apr 2022
Newly Built 3 Bedroom Semi Detached Duplex,45000000,3,3,3,,Lekki,Lagos,ServicedNewly Built,08060283193,9,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ikota-villa-megachicken-ikota-lekki-lagos-3GVAV,20 Jun 2022
A Well Finished Block Of 4 Flats,100000000, , , ,,Ogba,Lagos,ServicedNewly Built,08138310553,5,https://www.propertypro.ng/property/house-for-sale-ogba-bus-stop-ogba-lagos-8GVHA,22 Jun 2022
5 Bedroom Bungalow At Obawole Ogba Ifako Ijiaye Lga,30000000,5,5,4,,Ogba,Lagos,ServicedNewly Built,08138248835,1,https://www.propertypro.ng/property/5-bedroom-house-for-sale-obawole-ifako-ogba-ogba-lagos-9GVGZ,22 Jun 2022
Functioning Hotel Lolfor Sale,100000000, ,1, ,,Ipaja,Lagos,ServicedNewly Built,08138310553,6,https://www.propertypro.ng/property/10-bedroom-commercial-property-for-sale-aboru-agbelekale-iyana-ipaja-ipaja-lagos-8GVGZ,22 Jun 2022
