listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL,dateUpdated
4 Bedroom Semi Detached Duplex,70000000,4,4,5,,Ojodu,Lagos,Newly Built,08082445909,16,https://www.propertypro.ng/property/4-bedroom-house-for-sale-godspower-inegbenosun-street-oshorun-heritage-estate-off-channels-tv-road-opic-isheri-north-ojodu-lagos-isheri-north-ojodu-lagos-3FUEQ,09 Dec 2021
Smart 4 Bedroom Detached House,395000000,4,4,5,,Ikeja,Lagos,Newly Built,08082445909,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-oduduwa-street-ikeja-gra-ikeja-lagos-6GGYJ,26 Mar 2022
Luxury 4 Bedroom Flat,24500000,4,4,4,,Camp,Abuja,Newly Built,07081294126,8,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-by-berger-clinic-life-camp-abuja-3GKHQ,13 Apr 2022
Luxury 5 Bedroom Terraced Duplex,55500000,6,5,6,,Gwarinpa,Abuja,Newly Built,07081294126,12,https://www.propertypro.ng/property/5-bedroom-house-for-sale-34-crescent-by-kelina-hospital-gwarinpa-3rd-avenue-gwarinpa-abuja-7GQHH,21 May 2022
Land,1700000,0,0,0,,Ibeju-Lekki,Lagos,Newly Built,08099356899,4,https://www.propertypro.ng/property/land-for-sale-amen-estate-lacampaigne-tropicana-dangote-jetty-lacampaigne-tropicana-ibeju-lekki-lagos-4GTMQ,10 Jun 2022
Newly Built 4 Bedroom Fully Detached,85000000,4,4,5,,Ajah,Lagos,Newly Built,08099356899,9,https://www.propertypro.ng/property/4-bedroom-house-for-sale-meridian-boulevard-estate-okun-ajah-ajah-lagos-8GTXZ,13 Jun 2022
Newly Built 4 Bedroom Semi Detached Duplex,75000000,4,4,5,,Ajah,Lagos,Newly Built,08099356899,9,https://www.propertypro.ng/property/4-bedroom-house-for-sale-meridian-boulevard-okun-ajah-ajah-lagos-1GTYA,13 Jun 2022
Newly Built 3 Bedroom Semi Detached Duplex,60500000,3,3,4,,Ajah,Lagos,Newly Built,08099356899,7,https://www.propertypro.ng/property/3-bedroom-house-for-sale-meridian-boulevard-estate-okun-ajah-ajah-lagos-5GTYA,13 Jun 2022
Newly Built 3 Bedroom Terrace Duplex,56500000,3,3,4,,Ajah,Lagos,Newly Built,08099356899,9,https://www.propertypro.ng/property/3-bedroom-house-for-sale-meridian-boulevard-estate-okun-ajah-ajah-lagos-1GTYB,13 Jun 2022
Newly Built 2 Bedroom Terrace Duplex,50500000,2,2,3,,Ajah,Lagos,Newly Built,08099356899,4,https://www.propertypro.ng/property/2-bedroom-house-for-sale-meridian-boulevard-estate-okun-ajah-ajah-lagos-4GTYB,13 Jun 2022
Newly Built 2 Bedroom Apartment,34500000,2,2,3,,Ajah,Lagos,unstated,08099356899,5,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-laguna-beach-apartments-okun-ajah-ajah-lagos-0GUHG,15 Jun 2022
500sqms Of Land,15000000,0,0,0,,Epe,Lagos,unstated,08099356899,6,https://www.propertypro.ng/property/land-for-sale-lagoon-front-estate-alaro-city-epe-resort-epe-road-epe-lagos-7GUMG,16 Jun 2022
Fully Serviced 3 Bedroom Flat,80000000,3,3,4,,Lekki,Lagos,unstated,08168064058,5,https://www.propertypro.ng/property/3-bedroom-house-for-sale-lekki-right-oniru-lekki-phase-1-lekki-lagos-8GVGV,21 Jun 2022
Roi Cour City Estate,8000000, , , ,,Ibeju-Lekki,Lagos,unstated,08132874237,1,https://www.propertypro.ng/property/land-for-sale-onigbedu-lekki-freetrade-zone-dagote-refiney-ibeju-lekki-lagos-0GVGT,21 Jun 2022
Plot Of Land Facing The Express,500000000, , , ,,Lekki,Lagos,unstated,08060623971,1,https://www.propertypro.ng/property/land-for-sale-maruwa-lekki-phase-1-lekki-lagos-7GVFT,21 Jun 2022
400 Sqms Plot Of Land With Old Bungalow,33000000, , , ,,Owerri,Imo,unstated,08037372117,12,https://www.propertypro.ng/property/land-for-sale-aladinma-housing-estate-owerri-imo-5GVFK,21 Jun 2022
4 Bedroom Semi Detached Duplex,65000000,4,4,5,,Lekki,Lagos,unstated,09037606063,17,https://www.propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lekki-lagos-5GPEM,13 May 2022
4 Bedroom Terrace Duplex,52000000,4,4,5,Lekki,Lekki,Lagos,unstated,09037606063,11,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-4GPXT,18 May 2022
Newly Built 3 Bedroom Terrace Duplex,45000000,3,3,4,Lekki,Lekki,Lagos,unstated,09037606063,5,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-0GTEN,09 Jun 2022
Newly Built 4 Bedroom With Two Rooms Bq,240000000,4,4,5,,Asokoro,Abuja,unstated,08160442385,30,https://www.propertypro.ng/property/4-bedroom-house-for-sale-naf-valley-estate-asokoro-abuja-0GVFD,21 Jun 2022
New 5 Bedroom Detached Duplex,850000000,5,5,6,,Ikoyi,Lagos,unstated,090902999998,25,https://www.propertypro.ng/property/5-bedroom-house-for-sale-patrick-harbour-estate-off-mojisola-onikoyi-estate-ikoyi-lagos-2GUKT,16 Jun 2022
4 Bedroom Fully Detached Duplex,60000000,5,4,5,,Ajah,Lagos,unstated,08113875325,7,https://www.propertypro.ng/property/4-bedroom-house-for-sale-atican-beach-view-estate-lekki-scheme-2-ajah-lagos-0GSZY,08 Jun 2022
