listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
Fully Serviced 3 Bedroom Semi Detached For Rent,4000000,4,3,4,Agungi,Lekki,Lagos,ServicedNewly Built,09035137760,9,https://www.propertypro.ng/property/3-bedroom-house-for-rent-agungi-lekki-lagos-7GUUC
Fully Serviced 3 Bedroom Semi Detached Duplex,4000000,4,3,4,Bera Estate Chevron,Lekki,Lagos,ServicedNewly Built,09035137760,9,https://www.propertypro.ng/property/3-bedroom-house-for-rent-bera-estate-chevron-lekki-lagos-8GUUD
4 Bedroom Fully Detached Duplex,5800000,5,4,5,Chevron Toll Gate Chevron,Lekki,Lagos,Newly Built,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-toll-gate-chevron-lekki-lagos-1GQRQ
4 Bedroom Semi Detached Terrace House,13000000,4,4, ,Old Ikoyi,Ikoyi,Lagos,Serviced,08124269637,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-2GREN
3 Bedroom Terrace Duplex,2500000,4,3,4,"Lekki Scheme 2, Off Mobil Road, After Vgc Before Ajah, Lekki Phase 2",Lekki,Lagos,ServicedNewly Built,08037372117,9,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-scheme-2-off-mobil-road-after-vgc-before-ajah-lekki-phase-2-lekki-lagos-5GSNW
4 Bedroom Semi Detached House,7000000,5,4,5,Osapa London,Lekki,Lagos,ServicedNewly Built,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-1GUUE
3bedroom Apartment,17000000,0,0,0,Victoria,Island,Lagos,,08124269637,9,https://www.propertypro.ng/property/flat-apartment-for-rent-victoria-island-lagos-0GKLJ
4 Bedroom Duplex,20000000,5,4,5,Old Ikoyi,Ikoyi,Lagos,Serviced,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-ikoyi-lagos-4GQSG
Luxury 3 Bedroom Terrace House,25000000,3,3,4,Banana Island Estate,Ikoyi,Lagos,FurnishedServiced,08124269637,9,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-estate-ikoyi-lagos-0GRDZ
4 Bedroom Terrace Duplex,13000000,5,4,5,Banana Island,Ikoyi,Lagos,Serviced,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-ikoyi-lagos-1GSSP
4 Bedroom Detached Duplex,5500000,5,4,5,Ikota,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-8GSSJ
4 Bedroom Detached Duplex,7000000,5,4,5,Chevron Toll Gate Chevron,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-toll-gate-chevron-lekki-lagos-1GTJA
4 Bedroom Terrace Duplex,78000000,5,4,5,Close To Pinnock Beach Estate Osapa London,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-close-to-pinnock-beach-estate-osapa-london-lekki-lagos-3GSRK
4 Bedroom Semi Detached Duplex,5500000,6,5,6,Osapa London,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-6GPAH
4 Bedroom Semi Detached Duplex,4000000,5,4,5,Ikota,Lekki,Lagos,,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-1GQKF
300 Sqm Office Space,45000, , , ,"New Market Road, Oniru Oniru Victoria",Island,Lagos,Serviced,07085348881,10,https://www.propertypro.ng/property/commercial-property-for-rent-new-market-road-oniru-oniru-victoria-island-lagos-4FLWW
Newly Built 2 Bedroom Flat,13800000,2,2,2,Banana Island,Ikoyi,Lagos,,07086048604,10,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-6GRWS
4 Bedroom Luxury Terrace Duplex,5000000,5,4,5,Ikate,Lekki,Lagos,Serviced,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-3GSKH
